id_municipio,populacao_2022,area_km2,densidade_hab_km2
1716653,4921,1206.118,4.08
1716703,8941,1161.03,7.7
1717008,4478,1560.551,2.87
1717206,2282,1363.412,1.67
1717503,7128,10003.549,0.71
1717800,4220,1718.791,2.46
1717909,7586,6542.838,1.16
1718006,2866,506.717,5.66
1718204,64418,4434.68,14.53
1718303,9044,300.999,30.05
1718402,3047,771.716,3.95
1718451,2193,401.174,5.47
1718501,3421,2215.669,1.54
1718550,3960,512.156,7.73
1718659,1768,845.823,2.09
1718709,2738,847.255,3.23
1718758,4841,6346.279,0.76
1718808,4215,222.435,18.95
1718840,3723,3535.135,1.05
1718865,7216,1671.239,4.32
1718881,2680,1412.318,1.9
1718899,2219,3281.219,0.68
1718907,4653,1804.687,2.58
1719004,2781,539.511,5.15
1720002,2406,274.104,8.78
1720101,5654,1099.58,5.14
1720150,1783,1913.11,0.93
1720200,13241,406.957,32.54
1720259,2385,1424.753,1.67
1720309,4100,289.597,14.16
1720499,4422,2520.465,1.75
1720655,5108,1258.771,4.06
1720804,10830,307.095,35.27
1720853,1577,1018.222,1.55
1720903,14011,2341.919,5.98
1720937,2021,1105.303,1.83
1720978,2456,2155.503,1.14
1721000,302692,2227.329,135.9
1721109,7459,2609.775,2.86
1721208,22615,1083.6,20.87
1721257,1909,706.883,2.7
1721307,1874,889.126,2.11
1722081,10522,1365.431,7.71
1722107,10517,1190.489,8.83
2100055,106550,5805.159,18.35
2100105,6144,371.338,16.55
2100154,12142,442.292,27.45
2100204,18467,1167.964,15.81
2100303,23286,1942.121,11.99
2100402,6447,524.374,12.29
2100436,24048,392.75,61.23
2100477,25710,1875.901,13.71
2100501,11109,11127.384,1.0
2100550,7170,502.402,14.27
2100600,37085,7439.615,4.98
2100709,25322,940.489,26.92
2100808,13793,608.903,22.65
2100832,17519,341.12,51.36
2100873,11181,805.194,13.89
2100907,39052,1789.73,21.82
2100956,25517,2976.039,8.57
2101004,29472,1100.275,26.79
2101103,11790,160.462,73.48
2101202,103711,1656.736,62.6
2101251,16966,542.962,31.25
2101301,16290,850.491,19.15
2101350,5252,413.651,12.7
2101400,101767,13141.162,7.74
2101509,18984,2209.414,8.59
2101608,84532,5187.673,16.29
2101707,65589,3046.308,21.53
2101731,8460,569.606,14.85
2101772,11750,147.954,79.42
2101806,5469,1784.64,3.06
2101905,19584,790.222,24.78
2101939,5840,247.186,23.63
2101970,7574,400.35,18.92
2102002,33100,6588.38,5.02
2102036,28599,2676.98,10.68
2102077,12212,445.171,27.43
2102101,34120,1073.258,31.79
2102150,9218,986.036,9.35
2102200,29685,1475.779,20.11
2102309,22455,1582.552,14.19
2102325,55499,2544.857,21.81
2102358,12918,820.968,15.74
2102374,9732,707.236,13.76
2102408,10121,545.244,18.56
2102507,16412,662.066,24.79
2102556,12301,613.529,20.05
2102606,19932,1634.861,12.19
2102705,24303,773.01,31.44
2102754,11374,590.267,19.27
2102804,24062,6267.675,3.84
2102903,24238,1260.977,19.22
2103000,156973,5201.927,30.18
2103109,10208,285.211,35.79
2103125,7094,319.538,22.2
2103158,12342,1167.848,10.57
2103174,16267,8401.003,1.94
2103208,81386,3247.385,25.06
2103257,12878,1462.809,8.8
2103307,114275,4361.606,26.2
2103406,41658,977.079,42.64
2103505,40316,1978.695,20.38
2103554,14915,725.664,20.55
2103604,59566,2263.692,26.31
2103703,31558,1257.608,25.09
2103752,14404,332.249,43.35
2103802,23053,358.493,64.31
2103901,10223,317.494,32.2
2104008,18311,452.411,40.47
2104057,33294,2720.266,12.24
2104073,8048,1625.822,4.95
2104081,10873,5086.589,2.14
2104099,17719,3690.61,4.8
2104107,12640,1853.406,6.82
2104206,16976,834.83,20.33
2104305,10186,720.129,14.14
2104404,17206,883.588,19.47
2104503,10231,445.856,22.95
2104552,18411,615.957,29.89
2104602,13930,647.989,21.5
2104628,7063,401.587,17.59
2104651,10713,1144.146,9.36
2104677,23128,1037.13,22.3
2104701,6023,271.445,22.19
2104800,73872,8861.717,8.34
2104909,10290,478.857,21.49
2105005,25680,1714.625,14.98
2105104,24794,1124.445,22.05
2105153,13974,368.685,37.9
2105203,10231,346.218,29.55
2105302,273110,1369.039,199.49
2105351,13828,1244.398,11.11
2105401,60440,1480.641,40.82
2105427,22513,3583.423,6.28
2105450,7471,591.616,12.63
2105476,17076,1962.362,8.7
2105500,24709,1137.104,21.73
2105609,14924,703.081,21.23
2105658,5146,568.499,9.05
2105708,44403,1240.444,35.8
2105807,9506,328.525,28.94
2105906,14769,631.455,23.39
2105922,10572,1512.985,6.99
2105948,8758,220.776,39.67
2105963,11411,744.199,15.33
2105989,7057,1063.619,6.63
2106003,11297,321.932,35.09
2106102,11597,3597.231,3.22
2106201,7161,472.296,15.16
2106300,13807,434.433,31.78
2106326,21149,635.758,33.27
2106359,7027,1402.593,5.01
2106375,13761,760.947,18.08
2106409,17090,548.548,31.15
2106508,22034,410.632,53.66
2106607,32174,2108.671,15.26
2106631,17432,794.454,21.94
